"order, bits_sent, raw_edgename"
0,8388608.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv1/weights/read
1,32.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
2,32.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
3,8388608.0,resnet_v2_101/block3/unit_20/bottleneck_v2/conv1/weights/read
4,32.0,resnet_v2_101/block3/unit_20/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
5,32.0,resnet_v2_101/block3/unit_20/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
6,8388608.0,resnet_v2_101/block3/unit_18/bottleneck_v2/conv1/weights/read
7,32.0,resnet_v2_101/block3/unit_18/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
8,32.0,resnet_v2_101/block3/unit_18/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
9,8388608.0,resnet_v2_101/block3/unit_16/bottleneck_v2/conv1/weights/read
10,32.0,resnet_v2_101/block3/unit_16/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
11,32.0,resnet_v2_101/block3/unit_16/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
12,8388608.0,resnet_v2_101/block3/unit_14/bottleneck_v2/conv1/weights/read
13,32.0,resnet_v2_101/block3/unit_14/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
14,32.0,resnet_v2_101/block3/unit_14/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
15,8388608.0,resnet_v2_101/block3/unit_12/bottleneck_v2/conv1/weights/read
16,32.0,resnet_v2_101/block3/unit_12/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
17,32.0,resnet_v2_101/block3/unit_12/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
18,8388608.0,resnet_v2_101/block3/unit_10/bottleneck_v2/conv1/weights/read
19,32.0,resnet_v2_101/block3/unit_10/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
20,32.0,resnet_v2_101/block3/unit_10/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
21,8388608.0,resnet_v2_101/block3/unit_8/bottleneck_v2/conv1/weights/read
22,32.0,resnet_v2_101/block3/unit_8/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
23,32.0,resnet_v2_101/block3/unit_8/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
24,8388608.0,resnet_v2_101/block3/unit_6/bottleneck_v2/conv1/weights/read
25,32.0,resnet_v2_101/block3/unit_6/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
26,32.0,resnet_v2_101/block3/unit_6/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
27,8388608.0,resnet_v2_101/block3/unit_4/bottleneck_v2/conv1/weights/read
28,32.0,resnet_v2_101/block4/unit_1/bottleneck_v2/shortcut/kernel/Regularizer/l2_regularizer
29,32.0,resnet_v2_101/block4/unit_1/bottleneck_v2/shortcut/kernel/Regularizer/l2_regularizer/L2Loss
30,32.0,resnet_v2_101/block3/unit_4/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
31,67108864.0,resnet_v2_101/block4/unit_1/bottleneck_v2/shortcut/weights/read
32,2048.0,resnet_v2_101/block1/unit_1/bottleneck_v2/conv1/BatchNorm/beta/read
33,8192.0,resnet_v2_101/block1/unit_2/bottleneck_v2/preact/gamma/read
34,2048.0,resnet_v2_101/block1/unit_3/bottleneck_v2/conv1/BatchNorm/beta/read
35,8192.0,resnet_v2_101/block2/unit_1/bottleneck_v2/preact/gamma/read
36,4096.0,resnet_v2_101/block2/unit_2/bottleneck_v2/conv1/BatchNorm/gamma/read
37,2097152.0,resnet_v2_101/block2/unit_2/bottleneck_v2/conv3/weights/read
38,32.0,resnet_v2_101/block2/unit_2/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
39,32.0,resnet_v2_101/block2/unit_2/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer/L2Loss
40,4096.0,resnet_v2_101/block2/unit_4/bottleneck_v2/conv1/BatchNorm/gamma/read
41,2097152.0,resnet_v2_101/block2/unit_4/bottleneck_v2/conv3/weights/read
42,32.0,resnet_v2_101/block2/unit_4/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
43,32.0,resnet_v2_101/block2/unit_4/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer/L2Loss
44,8388608.0,resnet_v2_101/block3/unit_2/bottleneck_v2/conv1/weights/read
45,32.0,resnet_v2_101/block3/unit_4/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
46,32.0,resnet_v2_101/block3/unit_2/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
47,32.0,resnet_v2_101/block3/unit_2/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
