"order, bits_sent, raw_edgename"
0,32032.0,resnet_v2_200/logits/biases/read
1,65536.0,resnet_v2_200/postnorm/beta/read
2,65536.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv3/biases/read
3,16384.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv2/BatchNorm/beta/read
4,16384.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv2/BatchNorm/gamma/read
5,75497472.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv2/weights/read
6,32.0,resnet_v2_200/block4/unit_3/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
7,65536.0,resnet_v2_200/block4/unit_3/bottleneck_v2/preact/beta/read
8,65536.0,resnet_v2_200/block4/unit_2/bottleneck_v2/conv3/biases/read
9,16384.0,resnet_v2_200/block4/unit_2/bottleneck_v2/conv2/BatchNorm/beta/read
10,16384.0,resnet_v2_200/block4/unit_2/bottleneck_v2/conv2/BatchNorm/gamma/read
11,75497472.0,resnet_v2_200/block4/unit_2/bottleneck_v2/conv2/weights/read
12,32.0,resnet_v2_200/block4/unit_2/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
13,65536.0,resnet_v2_200/block4/unit_2/bottleneck_v2/preact/beta/read
14,65536.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv3/biases/read
15,16384.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv2/BatchNorm/beta/read
16,16384.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv2/BatchNorm/gamma/read
17,75497472.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv2/weights/read
18,32.0,resnet_v2_200/block4/unit_1/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
19,32768.0,resnet_v2_200/block4/unit_1/bottleneck_v2/preact/beta/read
20,32768.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv3/biases/read
21,8192.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv2/BatchNorm/beta/read
22,8192.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv2/BatchNorm/gamma/read
23,18874368.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv2/weights/read
24,32.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
25,32768.0,resnet_v2_200/block3/unit_36/bottleneck_v2/preact/beta/read
26,32768.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv3/biases/read
27,8192.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv2/BatchNorm/beta/read
28,8192.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv2/BatchNorm/gamma/read
29,18874368.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv2/weights/read
30,32.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
31,32768.0,resnet_v2_200/block3/unit_35/bottleneck_v2/preact/beta/read
32,32768.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv3/biases/read
33,8192.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv2/BatchNorm/beta/read
34,8192.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv2/BatchNorm/gamma/read
35,18874368.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv2/weights/read
36,32.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
37,32768.0,resnet_v2_200/block3/unit_34/bottleneck_v2/preact/beta/read
38,32768.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv3/biases/read
39,8192.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv2/BatchNorm/beta/read
40,8192.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv2/BatchNorm/gamma/read
41,18874368.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv2/weights/read
42,32.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
43,32768.0,resnet_v2_200/block3/unit_33/bottleneck_v2/preact/beta/read
44,32768.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv3/biases/read
45,8192.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv2/BatchNorm/beta/read
46,8192.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv2/BatchNorm/gamma/read
47,18874368.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv2/weights/read
48,32.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
49,32768.0,resnet_v2_200/block3/unit_32/bottleneck_v2/preact/beta/read
50,32768.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv3/biases/read
51,8192.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv2/BatchNorm/beta/read
52,8192.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv2/BatchNorm/gamma/read
53,18874368.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv2/weights/read
54,32.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
55,32768.0,resnet_v2_200/block3/unit_31/bottleneck_v2/preact/beta/read
56,32768.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv3/biases/read
57,8192.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv2/BatchNorm/beta/read
58,8192.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv2/BatchNorm/gamma/read
59,18874368.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv2/weights/read
60,32.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
61,32768.0,resnet_v2_200/block3/unit_30/bottleneck_v2/preact/beta/read
62,32768.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv3/biases/read
63,8192.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv2/BatchNorm/beta/read
64,8192.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv2/BatchNorm/gamma/read
65,18874368.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv2/weights/read
66,32.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
67,32768.0,resnet_v2_200/block3/unit_29/bottleneck_v2/preact/beta/read
68,32768.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv3/biases/read
69,8192.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv2/BatchNorm/beta/read
70,8192.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv2/BatchNorm/gamma/read
71,18874368.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv2/weights/read
72,32.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
73,32768.0,resnet_v2_200/block3/unit_28/bottleneck_v2/preact/beta/read
74,32768.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv3/biases/read
75,8192.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv2/BatchNorm/beta/read
76,8192.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv2/BatchNorm/gamma/read
77,18874368.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv2/weights/read
78,32.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
79,32768.0,resnet_v2_200/block3/unit_27/bottleneck_v2/preact/beta/read
80,32768.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv3/biases/read
81,8192.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv2/BatchNorm/beta/read
82,8192.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv2/BatchNorm/gamma/read
83,18874368.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv2/weights/read
84,32.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
85,32768.0,resnet_v2_200/block3/unit_26/bottleneck_v2/preact/beta/read
86,32768.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv3/biases/read
87,8192.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv2/BatchNorm/beta/read
88,8192.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv2/BatchNorm/gamma/read
89,18874368.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv2/weights/read
90,32.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
91,32768.0,resnet_v2_200/block3/unit_25/bottleneck_v2/preact/beta/read
92,32768.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv3/biases/read
93,8192.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv2/BatchNorm/beta/read
94,8192.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv2/BatchNorm/gamma/read
95,18874368.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv2/weights/read
96,32.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
97,32768.0,resnet_v2_200/block3/unit_24/bottleneck_v2/preact/beta/read
98,32768.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv3/biases/read
99,8192.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv2/BatchNorm/beta/read
100,8192.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv2/BatchNorm/gamma/read
101,18874368.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv2/weights/read
102,32.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
103,32768.0,resnet_v2_200/block3/unit_23/bottleneck_v2/preact/beta/read
104,32768.0,resnet_v2_200/block3/unit_22/bottleneck_v2/conv3/biases/read
105,8192.0,resnet_v2_200/block3/unit_22/bottleneck_v2/conv2/BatchNorm/beta/read
106,8192.0,resnet_v2_200/block3/unit_22/bottleneck_v2/conv2/BatchNorm/gamma/read
107,18874368.0,resnet_v2_200/block3/unit_22/bottleneck_v2/conv2/weights/read
108,32.0,resnet_v2_200/block3/unit_22/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
109,32768.0,resnet_v2_200/block3/unit_22/bottleneck_v2/preact/beta/read
110,32768.0,resnet_v2_200/block3/unit_21/bottleneck_v2/conv3/biases/read
111,8192.0,resnet_v2_200/block3/unit_21/bottleneck_v2/conv2/BatchNorm/beta/read
112,8192.0,resnet_v2_200/block3/unit_21/bottleneck_v2/conv2/BatchNorm/gamma/read
113,18874368.0,resnet_v2_200/block3/unit_21/bottleneck_v2/conv2/weights/read
114,32.0,resnet_v2_200/block3/unit_21/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
115,32768.0,resnet_v2_200/block3/unit_21/bottleneck_v2/preact/beta/read
116,32768.0,resnet_v2_200/block3/unit_20/bottleneck_v2/conv3/biases/read
117,8192.0,resnet_v2_200/block3/unit_20/bottleneck_v2/conv2/BatchNorm/beta/read
118,8192.0,resnet_v2_200/block3/unit_20/bottleneck_v2/conv2/BatchNorm/gamma/read
119,18874368.0,resnet_v2_200/block3/unit_20/bottleneck_v2/conv2/weights/read
120,32.0,resnet_v2_200/block3/unit_20/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
121,32768.0,resnet_v2_200/block3/unit_20/bottleneck_v2/preact/beta/read
122,32768.0,resnet_v2_200/block3/unit_19/bottleneck_v2/conv3/biases/read
123,8192.0,resnet_v2_200/block3/unit_19/bottleneck_v2/conv2/BatchNorm/beta/read
124,8192.0,resnet_v2_200/block3/unit_19/bottleneck_v2/conv2/BatchNorm/gamma/read
125,18874368.0,resnet_v2_200/block3/unit_19/bottleneck_v2/conv2/weights/read
126,32.0,resnet_v2_200/block3/unit_19/bottleneck_v2/conv2/kernel/Regularizer/l2_regularizer/L2Loss
