"order, bits_sent, raw_edgename"
0,2048.0,conv2/BatchNorm/beta/read
1,3072.0,mixed_35x35x256a/branch3x3dbl/Conv_2/BatchNorm/beta/read
2,1536.0,mixed_35x35x256a/branch5x5/Conv/BatchNorm/beta/read
3,2048.0,mixed_35x35x288a/branch_pool/Conv/BatchNorm/beta/read
4,2048.0,mixed_35x35x288a/branch5x5/Conv_1/BatchNorm/beta/read
5,2048.0,mixed_35x35x288b/branch3x3dbl/Conv/BatchNorm/beta/read
6,12288.0,mixed_17x17x768a/branch3x3/Conv/BatchNorm/beta/read
7,4096.0,mixed_17x17x768b/branch7x7dbl/Conv/BatchNorm/beta/read
8,6144.0,mixed_17x17x768b/branch7x7dbl/Conv_4/BatchNorm/beta/read
9,6144.0,mixed_17x17x768b/branch1x1/Conv/BatchNorm/beta/read
10,5120.0,mixed_17x17x768c/branch7x7dbl/Conv_2/BatchNorm/beta/read
11,5120.0,mixed_17x17x768c/branch7x7/Conv_1/BatchNorm/beta/read
12,5120.0,mixed_17x17x768d/branch7x7dbl/Conv/BatchNorm/beta/read
13,6144.0,mixed_17x17x768d/branch7x7dbl/Conv_4/BatchNorm/beta/read
14,6144.0,mixed_17x17x768d/branch1x1/Conv/BatchNorm/beta/read
15,6144.0,mixed_17x17x768e/branch7x7dbl/Conv_2/BatchNorm/beta/read
16,4096.0,aux_logits/proj/BatchNorm/beta/read
17,6144.0,mixed_17x17x768e/branch7x7/Conv_1/BatchNorm/beta/read
