inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,multi_step,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,worker_receive_time,real_distribution,striping,worker_recv_rate,num_workers,max_param_size,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,forward_pass_as_bytes,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,41,0,1,"[1.394769757440201, 1.3979154854402012, 1.4010612134402014, 1.4042069414402016, 1.4073526694402019, 1.4104983974402021, 1.4136441254402023, 1.4167898534402026, 1.4199355814402028, 1.423081309440203, 1.4262270374402033, 1.4293727654402035, 1.4325184934402038, 1.435664221440204, 1.4388099494402042, 1.4419556774402045, 1.4451014054402047, 1.448247133440205, 1.4513928614402052, 1.4545385894402054, 1.4576843174402057, 1.460830045440206, 1.4639757734402061, 1.4671215014402064, 1.4702672294402066, 1.4734129574402068, 1.476558685440207, 1.4797044134402073, 1.4828501414402075, 1.4859958694402078, 1.489141597440208, 1.4922873254402083]",0,1,25.0,32,-1.0,2.729320494080004,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,41,0,1,"[0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015]",0,1,25.0,32,-1.0,1.5670386700799948,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,1,0.216,25.0,-1,41,0,1,"[1.394769757440201, 1.3979154854402012, 1.4010612134402014, 1.4042069414402016, 1.4073526694402019, 1.4104983974402021, 1.4136441254402023, 1.4167898534402026, 1.4199355814402028, 1.423081309440203, 1.4262270374402033, 1.4293727654402035, 1.4325184934402038, 1.435664221440204, 1.4388099494402042, 1.4419556774402045, 1.4451014054402047, 1.448247133440205, 1.4513928614402052, 1.4545385894402054, 1.4576843174402057, 1.460830045440206, 1.4639757734402061, 1.4671215014402064, 1.4702672294402066, 1.4734129574402068, 1.476558685440207, 1.4797044134402073, 1.4828501414402075, 1.4859958694402078, 1.489141597440208, 1.4922873254402083]",0,1,25.0,32,-1.0,1.8937266252802074,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,1,0.216,25.0,-1,41,0,1,"[0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015]",0,1,25.0,32,-1.0,0.7247345164799999,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,42,0,1,"[1.394769757440201, 1.3979154854402012, 1.4010612134402014, 1.4042069414402016, 1.4073526694402019, 1.4104983974402021, 1.4136441254402023, 1.4167898534402026, 1.4199355814402028, 1.423081309440203, 1.4262270374402033, 1.4293727654402035, 1.4325184934402038, 1.435664221440204, 1.4388099494402042, 1.4419556774402045, 1.4451014054402047, 1.448247133440205, 1.4513928614402052, 1.4545385894402054, 1.4576843174402057, 1.460830045440206, 1.4639757734402061, 1.4671215014402064, 1.4702672294402066, 1.4734129574402068, 1.476558685440207, 1.4797044134402073, 1.4828501414402075, 1.4859958694402078, 1.489141597440208, 1.4922873254402083]",0,1,25.0,32,-1.0,2.695707983360009,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,42,0,1,"[0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015]",0,1,25.0,32,-1.0,1.5411855372799852,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,1,0.216,25.0,-1,42,0,1,"[1.394769757440201, 1.3979154854402012, 1.4010612134402014, 1.4042069414402016, 1.4073526694402019, 1.4104983974402021, 1.4136441254402023, 1.4167898534402026, 1.4199355814402028, 1.423081309440203, 1.4262270374402033, 1.4293727654402035, 1.4325184934402038, 1.435664221440204, 1.4388099494402042, 1.4419556774402045, 1.4451014054402047, 1.448247133440205, 1.4513928614402052, 1.4545385894402054, 1.4576843174402057, 1.460830045440206, 1.4639757734402061, 1.4671215014402064, 1.4702672294402066, 1.4734129574402068, 1.476558685440207, 1.4797044134402073, 1.4828501414402075, 1.4859958694402078, 1.489141597440208, 1.4922873254402083]",0,1,25.0,32,-1.0,1.957435169280207,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,1,0.216,25.0,-1,42,0,1,"[0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015]",0,1,25.0,32,-1.0,0.6517345164799999,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,43,0,1,"[1.394769757440201, 1.3979154854402012, 1.4010612134402014, 1.4042069414402016, 1.4073526694402019, 1.4104983974402021, 1.4136441254402023, 1.4167898534402026, 1.4199355814402028, 1.423081309440203, 1.4262270374402033, 1.4293727654402035, 1.4325184934402038, 1.435664221440204, 1.4388099494402042, 1.4419556774402045, 1.4451014054402047, 1.448247133440205, 1.4513928614402052, 1.4545385894402054, 1.4576843174402057, 1.460830045440206, 1.4639757734402061, 1.4671215014402064, 1.4702672294402066, 1.4734129574402068, 1.476558685440207, 1.4797044134402073, 1.4828501414402075, 1.4859958694402078, 1.489141597440208, 1.4922873254402083]",0,1,25.0,32,-1.0,2.727156088319998,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
0,10.0,distribution_csv/inception-v3_extend_17x17_count_5/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_extend_17x17_count_5_param_ps_assignment.json,1,0,0.216,25.0,-1,43,0,1,"[0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015, 0.047118353920000015]",0,1,25.0,32,-1.0,1.5670321164799796,12000000.0,0.0002,25.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_extend_17x17_count_5/,3000.0,25.0,1,none,inception-v3_extend_17x17_count_5,0
