"time, send_bytes, send_device, rcv_device"
1510619735766.0,1536.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735766.0,256.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735767.0,1536.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735770.0,384.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735771.0,384.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735771.0,384.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735771.0,384.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735772.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735772.0,768.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735772.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735772.0,768.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735773.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735773.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735773.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735774.0,512.0,/job:worker/replica:0/task:0/device:GPU:0,/job:ps/replica:0/task:0/device:CPU:0
1510619735781.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,3456.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,128.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,320.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,128.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,128.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735781.0,331776.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,221184.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,49152.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,307200.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,36864.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,49152.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,331776.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,65536.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,221184.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,307200.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,65536.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,49152.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,331776.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,221184.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,73728.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,55296.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,192.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,331776.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,307200.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,221184.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,768.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,73728.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,1536.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,3981312.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,73728.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,256.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,458752.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735782.0,384.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,688128.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,458752.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,4.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,458752.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
1510619735783.0,512.0,/job:ps/replica:0/task:0/device:CPU:0,/job:worker/replica:0/task:1/device:GPU:0
