"relative_time, bits_sent, raw_edgename"
0.0,2048.0,vgg/conv0/BatchNorm/moments/Squeeze
0.0,2048.0,vgg/conv1/BatchNorm/moments/Squeeze
6.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze_1
6.0,4096.0,vgg/conv2/BatchNorm/moments/Squeeze
7.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze_1
7.0,4096.0,vgg/conv3/BatchNorm/moments/Squeeze
8.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze_1
8.0,8192.0,vgg/conv4/BatchNorm/moments/Squeeze
9.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze_1
9.0,8192.0,vgg/conv5/BatchNorm/moments/Squeeze
10.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze_1
10.0,8192.0,vgg/conv6/BatchNorm/moments/Squeeze
11.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze_1
11.0,16384.0,vgg/conv7/BatchNorm/moments/Squeeze
11.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze
12.0,16384.0,vgg/conv8/BatchNorm/moments/Squeeze_1
12.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze_1
12.0,16384.0,vgg/conv9/BatchNorm/moments/Squeeze
13.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze_1
13.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze_1
13.0,16384.0,vgg/conv10/BatchNorm/moments/Squeeze
13.0,16384.0,vgg/conv11/BatchNorm/moments/Squeeze
14.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze_1
14.0,16384.0,vgg/conv12/BatchNorm/moments/Squeeze
13604.0,32032.0,gradients/vgg/logits/xw_plus_b_grad/tuple/control_dependency_1
13604.0,131072.0,gradients/vgg/fc2/xw_plus_b_grad/tuple/control_dependency_1
13604.0,131203072.0,gradients/AddN
13605.0,131072.0,gradients/vgg/fc1/xw_plus_b_grad/tuple/control_dependency_1
13605.0,536870912.0,gradients/AddN_1
13605.0,5435817984.0,gradients/AddN_2
13606.0,16384.0,gradients/vgg/conv12/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13607.0,16384.0,gradients/vgg/conv11/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13607.0,75497472.0,gradients/AddN_5
13608.0,16384.0,gradients/vgg/conv10/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13608.0,75497472.0,gradients/AddN_8
13609.0,16384.0,gradients/vgg/conv9/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13609.0,75497472.0,gradients/AddN_11
13610.0,75497472.0,gradients/AddN_14
13611.0,16384.0,gradients/vgg/conv8/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13612.0,16384.0,gradients/vgg/conv7/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13612.0,75497472.0,gradients/AddN_17
13613.0,8192.0,gradients/vgg/conv6/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13613.0,37748736.0,gradients/AddN_20
13614.0,8192.0,gradients/vgg/conv5/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13614.0,18874368.0,gradients/AddN_23
13615.0,18874368.0,gradients/AddN_26
13616.0,8192.0,gradients/vgg/conv4/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13617.0,4096.0,gradients/vgg/conv3/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13617.0,9437184.0,gradients/AddN_29
13618.0,4096.0,gradients/vgg/conv2/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13618.0,4718592.0,gradients/AddN_32
13620.0,2359296.0,gradients/AddN_35
13621.0,2048.0,gradients/vgg/conv1/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13623.0,1179648.0,gradients/AddN_38
13624.0,2048.0,gradients/vgg/conv0/BatchNorm/batchnorm/sub_grad/tuple/control_dependency
13626.0,55296.0,gradients/AddN_41
