vgg16
,agg,multiagg
128,22.264021519368434,33.95381150080995
256,22.274357920008434,33.95421150080995
512,22.156359859206763,1.4527618815999923
1024,7.773287119543534,1.0478391533714129
2048,7.777045078400677,1.0528580617142713


resnet-200
,agg,multiagg
128,7.775003664000752,0.8637332973714047
256,4.941701055999316,0.8298876882285585
512,4.945251303313607,0.8235785375999871
1024,4.943822701713576,0.6466867807999895
2048,2.9924602020569937,0.697034073599991


resnet-101
,agg,multiagg
128,2.994077573485565,0.7197878811428472
256,3.0045479277712643,0.6099028278857033
