"order, bits_sent, raw_edgename"
0,24600576.0,aux_logits/FC/weights/read
1,32.0,aux_logits/FC/weights/Regularizer/L2Regularizer/value
2,32.0,aux_logits/FC/weights/Regularizer/L2Regularizer/L2Loss
3,32.0,mixed_17x17x768e/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
4,32.0,mixed_17x17x768e/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
5,4718592.0,mixed_17x17x768e/branch1x1/Conv/weights/read
6,32.0,mixed_17x17x768e/branch7x7dbl/Conv/weights/Regularizer/L2Regularizer/value
7,32.0,mixed_17x17x768e/branch7x7dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
8,4718592.0,mixed_17x17x768e/branch7x7dbl/Conv/weights/read
9,8257536.0,mixed_17x17x768e/branch7x7dbl/Conv_4/weights/read
10,32.0,mixed_17x17x768e/branch7x7dbl/Conv_4/weights/Regularizer/L2Regularizer/value
11,32.0,mixed_17x17x768e/branch7x7dbl/Conv_4/weights/Regularizer/L2Regularizer/L2Loss
12,5734400.0,mixed_17x17x768d/branch7x7/Conv_1/weights/read
13,32.0,mixed_17x17x768d/branch7x7/Conv_1/weights/Regularizer/L2Regularizer/value
14,32.0,mixed_17x17x768d/branch7x7/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
15,5734400.0,mixed_17x17x768d/branch7x7dbl/Conv_2/weights/read
16,32.0,mixed_17x17x768d/branch7x7dbl/Conv_2/weights/Regularizer/L2Regularizer/value
17,32.0,mixed_17x17x768d/branch7x7dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
18,32.0,mixed_17x17x768c/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
19,32.0,mixed_17x17x768c/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
20,4718592.0,mixed_17x17x768c/branch1x1/Conv/weights/read
21,32.0,mixed_17x17x768c/branch7x7dbl/Conv/weights/Regularizer/L2Regularizer/value
22,32.0,mixed_17x17x768c/branch7x7dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
23,3932160.0,mixed_17x17x768c/branch7x7dbl/Conv/weights/read
24,6881280.0,mixed_17x17x768c/branch7x7dbl/Conv_4/weights/read
25,32.0,mixed_17x17x768c/branch7x7dbl/Conv_4/weights/Regularizer/L2Regularizer/value
26,32.0,mixed_17x17x768c/branch7x7dbl/Conv_4/weights/Regularizer/L2Regularizer/L2Loss
27,3670016.0,mixed_17x17x768b/branch7x7/Conv_1/weights/read
28,32.0,mixed_17x17x768b/branch7x7/Conv_1/weights/Regularizer/L2Regularizer/value
29,32.0,mixed_17x17x768b/branch7x7/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
30,3670016.0,mixed_17x17x768b/branch7x7dbl/Conv_2/weights/read
31,32.0,mixed_17x17x768b/branch7x7dbl/Conv_2/weights/Regularizer/L2Regularizer/value
32,32.0,mixed_17x17x768b/branch7x7dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
33,1769472.0,mixed_17x17x768a/branch3x3dbl/Conv_1/weights/read
34,32.0,mixed_17x17x768a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
35,32.0,mixed_17x17x768a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
36,32.0,mixed_35x35x288b/branch5x5/Conv/weights/Regularizer/L2Regularizer/value
37,32.0,mixed_35x35x288b/branch5x5/Conv/weights/Regularizer/L2Regularizer/L2Loss
38,442368.0,mixed_35x35x288b/branch5x5/Conv/weights/read
39,2654208.0,mixed_35x35x288b/branch3x3dbl/Conv_2/weights/read
40,32.0,mixed_35x35x288b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/value
41,32.0,mixed_35x35x288b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
42,32.0,mixed_35x35x288a/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
43,32.0,mixed_35x35x288a/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
44,524288.0,mixed_35x35x288a/branch1x1/Conv/weights/read
45,1769472.0,mixed_35x35x288a/branch3x3dbl/Conv_1/weights/read
46,32.0,mixed_35x35x288a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
47,32.0,mixed_35x35x288a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
48,4423680.0,conv4/weights/read
49,32.0,mixed_35x35x256a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/value
50,32.0,mixed_35x35x256a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
51,393216.0,mixed_35x35x256a/branch3x3dbl/Conv/weights/read
52,27648.0,conv0/weights/read
53,32.0,conv0/weights/Regularizer/L2Regularizer/value
54,32.0,conv0/weights/Regularizer/L2Regularizer/L2Loss
55,32.0,conv4/weights/Regularizer/L2Regularizer/value
56,32.0,conv4/weights/Regularizer/L2Regularizer/L2Loss
