"order, bits_sent, raw_edgename"
0,2560.0,conv3/BatchNorm/beta/read
1,1024.0,mixed_35x35x256a/branch_pool/Conv/BatchNorm/beta/read
2,2048.0,mixed_35x35x256a/branch5x5/Conv_1/BatchNorm/beta/read
3,2048.0,mixed_35x35x288a/branch3x3dbl/Conv/BatchNorm/beta/read
4,3072.0,mixed_35x35x288b/branch3x3dbl/Conv_1/BatchNorm/beta/read
5,2048.0,mixed_35x35x288b/branch1x1/Conv/BatchNorm/beta/read
6,2048.0,mixed_17x17x768a/branch3x3dbl/Conv/BatchNorm/beta/read
7,6144.0,mixed_17x17x768b/branch_pool/Conv/BatchNorm/beta/read
8,4096.0,mixed_17x17x768b/branch7x7dbl/Conv_1/BatchNorm/beta/read
9,4096.0,mixed_17x17x768b/branch7x7/Conv/BatchNorm/beta/read
10,5120.0,mixed_17x17x768c/branch7x7dbl/Conv_3/BatchNorm/beta/read
11,6144.0,mixed_17x17x768c/branch7x7/Conv_2/BatchNorm/beta/read
12,6144.0,mixed_17x17x768d/branch_pool/Conv/BatchNorm/beta/read
13,5120.0,mixed_17x17x768d/branch7x7dbl/Conv_1/BatchNorm/beta/read
14,5120.0,mixed_17x17x768d/branch7x7/Conv/BatchNorm/beta/read
15,6144.0,mixed_17x17x768e/branch7x7dbl/Conv_3/BatchNorm/beta/read
16,6144.0,mixed_17x17x768e/branch7x7/Conv_2/BatchNorm/beta/read
17,24576.0,aux_logits/Conv/BatchNorm/beta/read
