"order, bits_sent, raw_edgename"
0,32.0,mixed_8x8x2048b/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
1,32.0,mixed_8x8x2048b/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
2,25165824.0,mixed_8x8x2048b/branch3x3/Conv/weights/read
3,14155776.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/read
4,32.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/value
5,32.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
6,49545216.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/read
7,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
8,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
9,14155776.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/read
10,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/value
11,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/L2Loss
12,32.0,mixed_8x8x2048a/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
13,32.0,mixed_8x8x2048a/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
14,13107200.0,mixed_8x8x2048a/branch1x1/Conv/weights/read
15,32.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/value
16,32.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
17,14155776.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/read
18,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/value
19,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
20,14155776.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/read
21,32.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/value
22,32.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
23,18350080.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/read
24,32.0,mixed_17x17x1280a/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
25,32.0,mixed_17x17x1280a/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
26,4718592.0,mixed_17x17x1280a/branch3x3/Conv/weights/read
27,32.0,mixed_17x17x1280a/branch7x7x3/Conv/weights/Regularizer/L2Regularizer/value
28,32.0,mixed_17x17x1280a/branch7x7x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
29,4718592.0,mixed_17x17x1280a/branch7x7x3/Conv/weights/read
30,8257536.0,mixed_17x17x1280a/branch7x7x3/Conv_2/weights/read
31,32.0,mixed_17x17x1280a/branch7x7x3/Conv_2/weights/Regularizer/L2Regularizer/value
32,32.0,mixed_17x17x1280a/branch7x7x3/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
33,7864320.0,mixed_8x8x2048a/branch_pool/Conv/weights/read
34,32.0,mixed_8x8x2048a/branch_pool/Conv/weights/Regularizer/L2Regularizer/value
35,32.0,mixed_8x8x2048a/branch_pool/Conv/weights/Regularizer/L2Regularizer/L2Loss
36,65601536.0,logits/logits/weights/read
37,32.0,logits/logits/weights/Regularizer/L2Regularizer/value
38,32.0,logits/logits/weights/Regularizer/L2Regularizer/L2Loss
