inputs_as_bytes,gswitch_recv_rate,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,json,worker_send_rate,worker_inbuffer_size,step_num,num_ps,worker_recv_rate,num_workers,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,model_name,latency_distribution
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,4,10.0,8,1.35826973760369,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,4,10.0,8,2.2365808832288487,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,8,10.0,8,1.3504922528034697,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,8,10.0,8,2.205059865627967,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,1,10.0,12,5.247259407885223,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,1,10.0,12,9.804050472774623,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,2,10.0,12,2.674534160041333,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,2,10.0,12,4.974213910327165,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,4,10.0,12,1.8905613216192363,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,4,10.0,12,3.3284187776602385,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,1,json/resnet-200_param_ps_assignment.json,10.0,-1,10,8,10.0,12,1.8787304352189202,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
0,25.0,-1,25.0,1e-05,-1,4,0,json/resnet-200_param_ps_assignment.json,10.0,-1,10,8,10.0,12,3.2623226624583825,12000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/resnet-200/,3000.0,5.0,resnet-200,none
