"order, bits_sent, raw_edgename"
0,65601536.0,resnet_v2_101/logits/weights/read
1,32.0,resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/kernel/Regularizer/l2_regularizer
2,32.0,resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/kernel/Regularizer/l2_regularizer/L2Loss
3,524288.0,resnet_v2_101/block1/unit_1/bottleneck_v2/shortcut/weights/read
4,4096.0,resnet_v2_101/block2/unit_1/bottleneck_v2/conv1/BatchNorm/beta/read
5,16384.0,resnet_v2_101/block2/unit_2/bottleneck_v2/preact/gamma/read
6,4096.0,resnet_v2_101/block2/unit_2/bottleneck_v2/conv1/BatchNorm/beta/read
7,16384.0,resnet_v2_101/block2/unit_3/bottleneck_v2/preact/gamma/read
8,4096.0,resnet_v2_101/block2/unit_3/bottleneck_v2/conv1/BatchNorm/beta/read
9,16384.0,resnet_v2_101/block2/unit_4/bottleneck_v2/preact/gamma/read
10,4096.0,resnet_v2_101/block2/unit_4/bottleneck_v2/conv1/BatchNorm/beta/read
11,16384.0,resnet_v2_101/block3/unit_1/bottleneck_v2/preact/gamma/read
12,8192.0,resnet_v2_101/block3/unit_1/bottleneck_v2/conv1/BatchNorm/gamma/read
13,8388608.0,resnet_v2_101/block3/unit_1/bottleneck_v2/conv3/weights/read
14,32.0,resnet_v2_101/logits/kernel/Regularizer/l2_regularizer
15,32.0,resnet_v2_101/logits/kernel/Regularizer/l2_regularizer/L2Loss
16,33554432.0,resnet_v2_101/block4/unit_3/bottleneck_v2/conv1/weights/read
17,32.0,resnet_v2_101/block4/unit_3/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
18,32.0,resnet_v2_101/block4/unit_3/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
19,33554432.0,resnet_v2_101/block4/unit_2/bottleneck_v2/conv1/weights/read
20,32.0,resnet_v2_101/block4/unit_2/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
21,32.0,resnet_v2_101/block4/unit_2/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
22,16777216.0,resnet_v2_101/block4/unit_1/bottleneck_v2/conv1/weights/read
23,32.0,resnet_v2_101/block4/unit_1/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
24,32.0,resnet_v2_101/block4/unit_1/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
25,8388608.0,resnet_v2_101/block3/unit_23/bottleneck_v2/conv3/weights/read
26,32.0,resnet_v2_101/block3/unit_23/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
27,32.0,resnet_v2_101/block3/unit_23/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer/L2Loss
28,8192.0,resnet_v2_101/block3/unit_23/bottleneck_v2/conv1/BatchNorm/gamma/read
29,8388608.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv3/weights/read
30,32.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
31,32.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer/L2Loss
32,8192.0,resnet_v2_101/block3/unit_22/bottleneck_v2/conv1/BatchNorm/gamma/read
33,8388608.0,resnet_v2_101/block3/unit_21/bottleneck_v2/conv3/weights/read
34,32.0,resnet_v2_101/block3/unit_21/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
35,32.0,resnet_v2_101/block3/unit_21/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer/L2Loss
36,8192.0,resnet_v2_101/block3/unit_21/bottleneck_v2/conv1/BatchNorm/gamma/read
37,8388608.0,resnet_v2_101/block3/unit_20/bottleneck_v2/conv3/weights/read
38,32.0,resnet_v2_101/block3/unit_20/bottleneck_v2/conv3/kernel/Regularizer/l2_regularizer
