inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,multi_step,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,worker_receive_time,real_distribution,striping,worker_recv_rate,num_workers,max_param_size,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,forward_pass_as_bytes,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,41,0,1,"[2.4786383935996787, 2.486502713599678, 2.494367033599677, 2.502231353599676, 2.510095673599675, 2.517959993599674, 2.525824313599673, 2.533688633599672, 2.541552953599671, 2.54941727359967, 2.557281593599669, 2.565145913599668, 2.573010233599667, 2.580874553599666, 2.5887388735996653, 2.5966031935996643, 2.6044675135996633, 2.6123318335996624, 2.6201961535996614, 2.6280604735996604, 2.6359247935996595, 2.6437891135996585, 2.6516534335996575, 2.6595177535996566, 2.6673820735996556, 2.6752463935996547, 2.6831107135996537, 2.6909750335996527, 2.6988393535996518, 2.706703673599651, 2.71456799359965, 2.722432313599649]",0,1,10.0,32,-1.0,4.798374335999742,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,41,0,1,"[0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025]",0,1,10.0,32,-1.0,2.5617423776001145,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_alternate_param_ps_assignment.json,1,1,0.194,10.0,-1,41,0,1,"[2.4786383935996787, 2.486502713599678, 2.494367033599677, 2.502231353599676, 2.510095673599675, 2.517959993599674, 2.525824313599673, 2.533688633599672, 2.541552953599671, 2.54941727359967, 2.557281593599669, 2.565145913599668, 2.573010233599667, 2.580874553599666, 2.5887388735996653, 2.5966031935996643, 2.6044675135996633, 2.6123318335996624, 2.6201961535996614, 2.6280604735996604, 2.6359247935996595, 2.6437891135996585, 2.6516534335996575, 2.6595177535996566, 2.6673820735996556, 2.6752463935996547, 2.6831107135996537, 2.6909750335996527, 2.6988393535996518, 2.706703673599651, 2.71456799359965, 2.722432313599649]",0,1,10.0,32,-1.0,3.123864883199652,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_alternate_param_ps_assignment.json,1,1,0.194,10.0,-1,41,0,1,"[0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025]",0,1,10.0,32,-1.0,0.7072762912000001,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,42,0,1,"[2.4786383935996787, 2.486502713599678, 2.494367033599677, 2.502231353599676, 2.510095673599675, 2.517959993599674, 2.525824313599673, 2.533688633599672, 2.541552953599671, 2.54941727359967, 2.557281593599669, 2.565145913599668, 2.573010233599667, 2.580874553599666, 2.5887388735996653, 2.5966031935996643, 2.6044675135996633, 2.6123318335996624, 2.6201961535996614, 2.6280604735996604, 2.6359247935996595, 2.6437891135996585, 2.6516534335996575, 2.6595177535996566, 2.6673820735996556, 2.6752463935996547, 2.6831107135996537, 2.6909750335996527, 2.6988393535996518, 2.706703673599651, 2.71456799359965, 2.722432313599649]",0,1,10.0,32,-1.0,4.741790553599747,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,42,0,1,"[0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025]",0,1,10.0,32,-1.0,2.520042640000076,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_alternate_param_ps_assignment.json,1,1,0.194,10.0,-1,42,0,1,"[2.4786383935996787, 2.486502713599678, 2.494367033599677, 2.502231353599676, 2.510095673599675, 2.517959993599674, 2.525824313599673, 2.533688633599672, 2.541552953599671, 2.54941727359967, 2.557281593599669, 2.565145913599668, 2.573010233599667, 2.580874553599666, 2.5887388735996653, 2.5966031935996643, 2.6044675135996633, 2.6123318335996624, 2.6201961535996614, 2.6280604735996604, 2.6359247935996595, 2.6437891135996585, 2.6516534335996575, 2.6595177535996566, 2.6673820735996556, 2.6752463935996547, 2.6831107135996537, 2.6909750335996527, 2.6988393535996518, 2.706703673599651, 2.71456799359965, 2.722432313599649]",0,1,10.0,32,-1.0,3.122864883199652,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_alternate_param_ps_assignment.json,1,1,0.194,10.0,-1,42,0,1,"[0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025]",0,1,10.0,32,-1.0,0.7062762912,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,0,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,43,0,1,"[2.4786383935996787, 2.486502713599678, 2.494367033599677, 2.502231353599676, 2.510095673599675, 2.517959993599674, 2.525824313599673, 2.533688633599672, 2.541552953599671, 2.54941727359967, 2.557281593599669, 2.565145913599668, 2.573010233599667, 2.580874553599666, 2.5887388735996653, 2.5966031935996643, 2.6044675135996633, 2.6123318335996624, 2.6201961535996614, 2.6280604735996604, 2.6359247935996595, 2.6437891135996585, 2.6516534335996575, 2.6595177535996566, 2.6673820735996556, 2.6752463935996547, 2.6831107135996537, 2.6909750335996527, 2.6988393535996518, 2.706703673599651, 2.71456799359965, 2.722432313599649]",0,1,10.0,32,-1.0,4.798355903999732,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
0,10.0,distribution_csv/inception-v3_alternate/,-1,-1.0,0,200.0,1e-05,-1,0,4,1,json/inception-v3_alternate_param_ps_assignment.json,1,0,0.194,10.0,-1,43,0,1,"[0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025, 0.08625788480000025]",0,1,10.0,32,-1.0,2.5617395104001206,12000000.0,0.0002,10.0,1,,1,0,10.0,200.0,-1,0.0,csv/inception-v3_alternate/,3000.0,10.0,1,none,inception-v3_alternate,0
