"order, bits_sent, raw_edgename"
0,8388608.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv1/weights/read
1,32.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
2,32.0,resnet_v2_200/block3/unit_36/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
3,8388608.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv1/weights/read
4,32.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
5,32.0,resnet_v2_200/block3/unit_35/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
6,8388608.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv1/weights/read
7,32.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
8,32.0,resnet_v2_200/block3/unit_34/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
9,8388608.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv1/weights/read
10,32.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
11,32.0,resnet_v2_200/block3/unit_33/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
12,8388608.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv1/weights/read
13,32.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
14,32.0,resnet_v2_200/block3/unit_32/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
15,8388608.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv1/weights/read
16,32.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
17,32.0,resnet_v2_200/block3/unit_31/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
18,8388608.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv1/weights/read
19,32.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
20,32.0,resnet_v2_200/block3/unit_30/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
21,8388608.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv1/weights/read
22,32.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
23,32.0,resnet_v2_200/block3/unit_29/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
24,8388608.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv1/weights/read
25,32.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
26,32.0,resnet_v2_200/block3/unit_28/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
27,8388608.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv1/weights/read
28,32.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
29,32.0,resnet_v2_200/block3/unit_27/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
30,8388608.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv1/weights/read
31,32.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
32,32.0,resnet_v2_200/block3/unit_26/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
33,8388608.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv1/weights/read
34,32.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
35,32.0,resnet_v2_200/block3/unit_25/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
36,8388608.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv1/weights/read
37,32.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
38,32.0,resnet_v2_200/block3/unit_24/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer/L2Loss
39,8388608.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv1/weights/read
40,32.0,resnet_v2_200/block3/unit_23/bottleneck_v2/conv1/kernel/Regularizer/l2_regularizer
