inputs_as_bytes,gswitch_recv_rate,distribution_trace_base_dir,tor_inbuffer_size,message_size,scattercast,tor_send_rate,latency,gswitch_inbuffer_size,horovod,num_gswitches,use_multicast,json,multi_step,in_network_computation,fwd_pass_time,worker_send_rate,worker_inbuffer_size,step_num,butterfly,num_ps,real_distribution,striping,worker_recv_rate,num_workers,worker_receive_time,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,fat_tree,verbosity,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,forward_pass_as_bytes,latency_distribution,model_name,optimal_param_distribution
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,3,0,0.357,10.0,-1,41,0,1,0,2,10.0,32,"[7.31516097280179, 7.31516417600179, 7.315167379201791, 7.315170582401791, 7.315173785601791, 7.315176988801792, 7.315180192001792, 7.315183395201792, 7.315186598401793, 7.3151930048017935, 7.315196208001794, 7.315199411201794, 7.3152026144017945, 7.315205817601795, 7.315209020801795, 7.315212224001796, 7.315215427201796, 7.315218630401796, 7.315221833601797, 7.315225036801797, 7.315228240001797, 7.315231443201798, 7.315234646401798, 7.3152378496017985, 7.315241052801799, 7.315244256001799, 7.3152474592017995, 7.3152506624018, 7.3152538656018, 7.315257068801801, 7.315260272001801, 7.316045008001773, 15.883976700799385, 15.883979903999386, 15.883983107199386, 15.883986310399386, 15.883989513599387, 15.883992716799387, 15.883995919999387, 15.883999123199388, 15.884002326399388, 15.884005529599388, 15.884008732799389, 15.88401193599939, 15.88401513919939, 15.88401834239939, 15.88402154559939, 15.88402474879939, 15.884027951999391, 15.884031155199391, 15.884034358399392, 15.884037561599392, 15.884040764799392, 15.884043967999393, 15.884047171199393, 15.884050374399393, 15.884053577599394, 15.884056780799394, 15.884059983999395, 15.884066390399395, 15.884069593599396, 15.884072796799396, 15.884075999999396, 15.884860735999368, 24.45392248960587, 24.453925692805868, 24.453928896005866, 24.453932099205865, 24.453935302405863, 24.453938505605862, 24.45394170880586, 24.45394491200586, 24.453948115205858, 24.453951318405856, 24.453954521605855, 24.453957724805854, 24.453960928005852, 24.45396413120585, 24.45396733440585, 24.453970537605848, 24.453973740805846, 24.453976944005845, 24.453980147205844, 24.453983350405842, 24.45398975680584, 24.453992960005838, 24.453996163205836, 24.453999366405835, 24.454002569605834, 24.454005772805832, 24.45400897600583, 24.45401217920583, 24.454015382405828, 24.454018585605827, 24.454021788805825, 24.454806524805853]",17.136676614404056,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,3,0,0.357,10.0,-1,41,0,1,0,2,10.0,32,"[0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 6.998395939199921, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068, 13.609959484799068]",13.223491417599066,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,3,1,0.357,10.0,-1,41,0,1,0,2,10.0,32,"[7.31516097280179, 7.31516417600179, 7.315167379201791, 7.315170582401791, 7.315173785601791, 7.315176988801792, 7.315180192001792, 7.315183395201792, 7.315186598401793, 7.315189801601793, 7.3151930048017935, 7.315196208001794, 7.315199411201794, 7.3152026144017945, 7.315205817601795, 7.315209020801795, 7.315212224001796, 7.315215427201796, 7.315218630401796, 7.315221833601797, 7.315225036801797, 7.315228240001797, 7.315231443201798, 7.315234646401798, 7.3152378496017985, 7.315241052801799, 7.3152474592017995, 7.3152506624018, 7.3152538656018, 7.315257068801801, 7.315260272001801, 7.316045008001773, 14.650230873604553, 14.650237280004553, 14.650240483204554, 14.650243686404554, 14.650246889604555, 14.650250092804555, 14.650253296004555, 14.650256499204556, 14.650259702404556, 14.650262905604556, 14.650266108804557, 14.650269312004557, 14.650272515204557, 14.650275718404558, 14.650278921604558, 14.650282124804558, 14.650285328004559, 14.65028853120456, 14.65029173440456, 14.65029493760456, 14.65029814080456, 14.65030134400456, 14.650304547204561, 14.650307750404561, 14.650310953604562, 14.650314156804562, 14.650317360004562, 14.650320563204563, 14.650323766404563, 14.650326969604563, 14.650330172804564, 14.651114908804535, 21.988574572809167, 21.988577776009166, 21.988584182409163, 21.98858738560916, 21.98859058880916, 21.98859379200916, 21.988596995209157, 21.988600198409156, 21.988603401609154, 21.988606604809153, 21.98860980800915, 21.98861301120915, 21.98861621440915, 21.988619417609147, 21.988622620809146, 21.988625824009144, 21.988629027209143, 21.98863223040914, 21.98863543360914, 21.98863863680914, 21.988641840009137, 21.988645043209136, 21.988648246409134, 21.988651449609133, 21.98865465280913, 21.98865785600913, 21.98866105920913, 21.988664262409127, 21.988667465609126, 21.988670668809124, 21.988673872009123, 21.98945860800915]",14.673432819207335,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,3,1,0.357,10.0,-1,41,0,1,0,2,10.0,32,"[0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.22962115839999925, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 0.8651987840000003, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009, 1.6771987840000009]",1.6140647423999996,12000000.0,0.0002,10.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,10.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,3,0,0.357,25.0,-1,41,0,1,0,2,25.0,32,"[2.9260763891209356, 2.9260776704009355, 2.9260789516809353, 2.9260802329609352, 2.926081514240935, 2.926082795520935, 2.926084076800935, 2.9260853580809347, 2.9260866393609346, 2.9260879206409345, 2.9260892019209344, 2.9260904832009342, 2.926091764480934, 2.926093045760934, 2.926094327040934, 2.9260956083209337, 2.9260968896009336, 2.9260981708809335, 2.9260994521609334, 2.9261007334409332, 2.926102014720933, 2.926103296000933, 2.926104577280933, 2.9261058585609327, 2.9261071398409326, 2.9261084211209325, 2.9261097024009324, 2.9261109836809323, 2.926112264960932, 2.926113546240932, 2.926114827520932, 2.926430003200929, 6.683563399680026, 6.683564680960027, 6.683565962240027, 6.683567243520027, 6.683568524800028, 6.683569806080028, 6.683571087360028, 6.683572368640029, 6.683573649920029, 6.683574931200029, 6.6835762124800295, 6.68357749376003, 6.68357877504003, 6.6835800563200305, 6.683581337600031, 6.683582618880031, 6.6835839001600315, 6.683585181440032, 6.683586462720032, 6.683587744000032, 6.683589025280033, 6.683590306560033, 6.683591587840033, 6.683592869120034, 6.683594150400034, 6.683595431680034, 6.683597994240035, 6.683599275520035, 6.683600556800036, 6.683601838080036, 6.683603119360036, 6.683917013760019, 10.441058723846451, 10.44106000512645, 10.44106128640645, 10.44106256768645, 10.441063848966449, 10.441065130246448, 10.441066411526448, 10.441067692806447, 10.441068974086447, 10.441070255366446, 10.441071536646445, 10.441072817926445, 10.441074099206444, 10.441075380486444, 10.441076661766443, 10.441077943046443, 10.441079224326442, 10.441080505606442, 10.441081786886441, 10.44108306816644, 10.44108434944644, 10.44108563072644, 10.441086912006439, 10.441088193286438, 10.441089474566438, 10.441090755846437, 10.441092037126436, 10.441093318406436, 10.441094599686435, 10.441095880966435, 10.441098443526434, 10.441412337926446]",7.51350043264553,12000000.0,0.0002,25.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,25.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,3,0,0.357,25.0,-1,41,0,1,0,2,25.0,32,"[0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 3.0174181875198096, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633, 5.666014655998633]",5.299578186238631,12000000.0,0.0002,25.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,25.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,3,1,0.357,25.0,-1,41,0,1,0,2,25.0,32,"[2.9260763891209356, 2.9260776704009355, 2.9260789516809353, 2.9260802329609352, 2.926081514240935, 2.926084076800935, 2.9260853580809347, 2.9260866393609346, 2.9260879206409345, 2.9260892019209344, 2.9260904832009342, 2.926091764480934, 2.926093045760934, 2.926094327040934, 2.9260956083209337, 2.9260968896009336, 2.9260981708809335, 2.9260994521609334, 2.9261007334409332, 2.926102014720933, 2.926103296000933, 2.926104577280933, 2.9261058585609327, 2.9261071398409326, 2.9261084211209325, 2.9261097024009324, 2.9261109836809323, 2.926112264960932, 2.926113546240932, 2.926114827520932, 2.9261161088009318, 2.926430003200929, 5.859167784961194, 5.859169066241194, 5.859170347521195, 5.859171628801195, 5.859172910081195, 5.859174191361196, 5.859175472641196, 5.859176753921196, 5.859178035201197, 5.859179316481197, 5.859181879041198, 5.859183160321198, 5.859184441601198, 5.8591857228811985, 5.859187004161199, 5.859188285441199, 5.8591895667211995, 5.8591908480012, 5.8591921292812, 5.8591934105612005, 5.859194691841201, 5.859195973121201, 5.859197254401201, 5.859198535681202, 5.859199816961202, 5.859201098241202, 5.859202379521203, 5.859203660801203, 5.859204942081203, 5.859206223361204, 5.859207504641204, 5.859521399041187, 8.793610688003014, 8.793611969283013, 8.793613250563013, 8.793614531843012, 8.793615813123012, 8.793617094403011, 8.79361837568301, 8.79361965696301, 8.79362093824301, 8.793622219523009, 8.793623500803008, 8.793624782083008, 8.793626063363007, 8.793628625923006, 8.793629907203005, 8.793631188483005, 8.793632469763004, 8.793633751043004, 8.793635032323003, 8.793636313603002, 8.793637594883002, 8.793638876163001, 8.793640157443, 8.793641438723, 8.793642720003, 8.793644001282999, 8.793645282562998, 8.793646563842998, 8.793647845122997, 8.793649126402997, 8.793650407682996, 8.793964302083008]",5.865857564162072,12000000.0,0.0002,25.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,25.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,3,1,0.357,25.0,-1,41,0,1,0,2,25.0,32,"[0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.09186046335999977, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 0.8373155135999993, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032, 1.6533155955200032]",1.6293680742399999,12000000.0,0.0002,25.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,25.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,0,json/resnet-200_param_ps_assignment.json,3,0,0.357,50.0,-1,41,0,1,0,2,50.0,32,"[1.4630481945604679, 1.4630488352004678, 1.4630494758404677, 1.4630501164804677, 1.4630507571204676, 1.4630513977604676, 1.4630520384004675, 1.4630526790404674, 1.4630533196804674, 1.4630539603204673, 1.4630546009604672, 1.4630552416004672, 1.4630558822404671, 1.463056522880467, 1.463057163520467, 1.463057804160467, 1.4630584448004669, 1.4630590854404668, 1.4630597260804667, 1.4630603667204667, 1.4630610073604666, 1.4630616480004666, 1.4630622886404665, 1.4630629292804664, 1.4630635699204664, 1.4630642105604663, 1.4630648512004663, 1.4630654918404662, 1.4630661324804661, 1.463066773120466, 1.463068054400466, 1.4632250016004646, 3.3693104582400037, 3.369311098880004, 3.369311739520004, 3.3693123801600042, 3.3693130208000044, 3.3693136614400045, 3.3693143020800047, 3.369314942720005, 3.369315583360005, 3.369316224000005, 3.3693168646400053, 3.3693175052800055, 3.3693181459200057, 3.369318786560006, 3.369319427200006, 3.369320067840006, 3.3693207084800063, 3.3693213491200065, 3.3693219897600066, 3.369323271040007, 3.369323911680007, 3.3693245523200073, 3.3693251929600074, 3.3693258336000076, 3.3693264742400078, 3.369327114880008, 3.369327755520008, 3.3693283961600082, 3.3693290368000084, 3.3693296774400086, 3.3693303180800087, 3.36948726528, 5.274744785923387, 5.274745426563387, 5.274746067203386, 5.274746707843386, 5.274747348483386, 5.2747479891233855, 5.274748629763385, 5.274749270403385, 5.274749911043385, 5.274750551683384, 5.274751192323384, 5.274751832963384, 5.2747524736033835, 5.274753114243383, 5.274753754883383, 5.274754395523383, 5.274755036163382, 5.274755676803382, 5.274756317443382, 5.2747569580833815, 5.274757598723381, 5.274758239363381, 5.274758880003381, 5.27475952064338, 5.27476016128338, 5.27476080192338, 5.2747614425633795, 5.274762083203379, 5.274762723843379, 5.274763364483379, 5.274764645763378, 5.274921592963384]",3.81155675968293,12000000.0,0.0002,50.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,50.0,1,none,resnet-200,0
0,10.0,distribution_csv/resnet-200/,-1,10000000.0,0,100.0,1e-05,-1,0,4,1,json/resnet-200_param_ps_assignment.json,3,0,0.357,50.0,-1,41,0,1,0,2,50.0,32,"[0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 0.045940231679999895, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 1.693318618239901, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832, 3.0236572614391832]",2.6606018559991833,12000000.0,0.0002,50.0,1,,1,0,10.0,100.0,-1,0.0,csv/resnet-200/,3000.0,50.0,1,none,resnet-200,0
