vgg16
,no messaging,16 Mb messaging
10.0,33.783811500810344,1.2829618815999881
25.0,13.517928600312128,0.5131967526399908
50.0,6.762634300156066,0.25660837631999545
75.0,4.510869533442257,0.17107891754666216
100.0,3.384987150078051,0.12831418815999773
125.0,2.7094577200656076,0.10265535052800012

resnet-200
,no messaging,16 Mb messaging
10.0,0.561070649599995,0.36810232274285803
25.0,0.22869755849142961,0.1538486690742845
50.0,0.1180635152457147,0.07634459282285652
75.0,0.08113969852952345,0.05013601822476242
100.0,0.06267776676571478,0.037452600411428276
125.0,0.051562278509714114,0.029964620836571455

resnet-101
,no messaging,16 Mb messaging
10.0,0.5547579821714235,0.27814027885714454
25.0,0.22626023954285815,0.11090770267428493
50.0,0.1167276900571433,0.05606862921142825
75.0,0.08022884784761874,0.037516298544762114
100.0,0.06197303021714334,0.028840759999999792
125.0,0.051029300041142686,0.023196506624

inception-v3
,no messaging,16 Mb messaging
10.0,0.37955347108571386,0.1841149686857151
25.0,0.15654522971428556,0.07795754112000004
50.0,0.08378056868571433,0.04262072850285715
75.0,0.05695110674285744,0.030857377219047574
100.0,0.04451448045714298,0.02497436836571414
125.0,0.037918249727999884,0.02142820406857138

