25 Gbps,default,multicast,agg,multiagg
vgg16,16.83256943422952,8.911959964284124,8.680009960956237,0.7654362864640116
resnet-200,5.559186934948718,3.3830704995667875,2.999974297782748,0.8306564222171428
resnet-101,3.6443916964439853,2.205418724206332,2.0418510362516087,0.5982137031876923
inception-v3,1.8838587380113823,1.4062612785370994,1.1165321102628414,0.5765202307657142
