time,queue
0.0,49152.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.0
29.0,0.0
30.0,0.0
31.0,0.0
32.0,0.0
33.0,0.0
34.0,0.0
35.0,0.0
36.0,0.0
37.0,0.0
38.0,0.0
39.0,0.0
40.0,0.0
41.0,0.0
42.0,0.0
43.0,0.0
44.0,0.0
45.0,0.0
46.0,0.0
47.0,0.0
48.0,0.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,0.0
58.0,0.0
59.0,0.0
60.0,0.0
61.0,0.0
62.0,0.0
63.0,0.0
64.0,0.0
65.0,0.0
66.0,0.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,0.0
71.0,0.0
72.0,0.0
73.0,0.0
74.0,0.0
75.0,0.0
76.0,0.0
77.0,0.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,0.0
90.0,0.0
91.0,0.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,0.0
97.0,0.0
98.0,131072.0
99.0,99384608.0
100.0,232253088.0
101.0,432295968.0
102.0,514734496.0
103.0,540484384.0
104.0,557812896.0
105.0,556299808.0
106.0,573595552.0
107.0,580479264.0
108.0,597832352.0
109.0,615160864.0
110.0,622052768.0
111.0,639430432.0
112.0,656726176.0
113.0,663601696.0
114.0,680962976.0
115.0,698291488.0
116.0,705183392.0
117.0,730949664.0
118.0,748310944.0
119.0,765623072.0
120.0,772514976.0
121.0,789876256.0
122.0,815593376.0
123.0,832971040.0
124.0,839862944.0
125.0,857224224.0
126.0,874552736.0
127.0,881428256.0
128.0,898724000.0
129.0,916101664.0
130.0,922993568.0
131.0,940322080.0
132.0,938792608.0
133.0,956170272.0
134.0,973466016.0
135.0,997151520.0
136.0,1010285728.0
137.0,1007126048.0
138.0,999280544.0
139.0,996112672.0
140.0,990360224.0
141.0,987237408.0
142.0,983553440.0
143.0,978272032.0
144.0,969336992.0
145.0,959345184.0
146.0,949353376.0
147.0,939877664.0
148.0,929877664.0
149.0,919877664.0
150.0,909877664.0
151.0,899877664.0
152.0,889877664.0
153.0,879881760.0
154.0,871061408.0
155.0,861061408.0
156.0,851065504.0
157.0,841589792.0
158.0,831606176.0
159.0,821614368.0
160.0,812138656.0
161.0,802138656.0
162.0,792138656.0
163.0,782138656.0
164.0,772140704.0
165.0,762142752.0
166.0,752142752.0
167.0,742142752.0
168.0,732142752.0
169.0,723326496.0
170.0,713867168.0
171.0,703875360.0
172.0,694407840.0
173.0,684932128.0
174.0,674932128.0
175.0,664932128.0
176.0,654932128.0
177.0,644932128.0
178.0,634932128.0
179.0,624936224.0
180.0,614936224.0
181.0,604936224.0
182.0,596119968.0
183.0,586251040.0
184.0,576251040.0
185.0,566255136.0
186.0,556255136.0
187.0,546255136.0
188.0,536255136.0
189.0,526257184.0
190.0,516558240.0
191.0,506558240.0
192.0,496558240.0
193.0,486558240.0
194.0,476558240.0
195.0,466558240.0
196.0,456558240.0
197.0,446558240.0
198.0,436558240.0
199.0,426558240.0
200.0,416558240.0
201.0,406558240.0
202.0,396558240.0
203.0,386558240.0
204.0,376558240.0
205.0,366558240.0
206.0,356558240.0
207.0,346558240.0
208.0,336558240.0
209.0,326558240.0
210.0,316558240.0
211.0,306558240.0
212.0,296558240.0
213.0,286558240.0
214.0,276558240.0
215.0,266558240.0
216.0,256558240.0
217.0,246558240.0
218.0,236558240.0
219.0,226558240.0
220.0,216558240.0
221.0,206558240.0
222.0,196558240.0
223.0,186558240.0
224.0,176558240.0
225.0,166558240.0
226.0,156558240.0
227.0,146558240.0
228.0,136558240.0
229.0,126558240.0
230.0,116558240.0
231.0,106558240.0
232.0,96558240.0
233.0,86558240.0
234.0,76558240.0
235.0,66558240.0
236.0,56558240.0
237.0,46558240.0
238.0,36558240.0
239.0,26558240.0
240.0,16558240.0
241.0,6558240.0
242.0,0.0
