inception
,default,agg,multicast,multiagg
inception-v3_alternate_1,2.0211677955657086,1.5408657627428497,1.177425710628561,0.6128773736228571
inception-v3_alternate_5,2.7193331371885754,1.9553339487087784,1.5623172693942717,0.7274488021942856
inception-v3_alternate_25,6.230654391588106,4.187643299109479,3.472595998536458,1.3614488021942859
inception-v3_alternate_125,23.75023417194591,14.914352281986746,13.038465423192863,4.106877373622857
