inception 17x17
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1,4.03446965613713,3.044660458057127,2.3631209877942694,1.2048976043885713,1.2124358882742843,1.1942894204342818,1.1881649755428565
5,5.441807975862861,3.897555193417556,3.1171170446628245,1.4708976043885713,1.4711751519085705,1.4343598006857101,1.4210221183999994
25,12.447612649324792,8.410656307933243,6.9491691896672005,2.7777547472457145,2.727559904182868,2.7449596602514346,2.7393078326857165
125,47.51611258215432,30.72110514911638,26.086261113083,9.157183318674283,9.043405464137013,8.964712423862807,9.118450689828562

inception 35x35
,default,agg,multicast,multiagg,ring-reduce,ring-reduce+multicast,butterfly
1,3.7375576378513,2.888679048045611,2.2097851914970916,1.2240404615314284,1.2132178442971413,1.189381375999996,1.194450689828571
5,3.9200432866741144,3.294084623359905,2.3686019273141965,1.5688976043885712,1.5713929760914271,1.5243971953371402,1.5173078326857137
25,4.937447906013274,4.985999795932996,3.274242241462712,3.222040461531429,3.21030300086858,3.031821053074291,3.1973078326857163
125,13.501463677085153,13.504309336513723,10.733469980891426,10.91832617581714,11.033165209965576,10.789746134674207,10.483307832685707
