time,queue
0.0,32032.0
1.0,668205056.0
2.0,6094154112.0
3.0,6084170496.0
4.0,6149684352.0
5.0,6215198208.0
6.0,6280695680.0
7.0,6270712064.0
8.0,6336225920.0
9.0,6401723392.0
10.0,6391739776.0
11.0,6419496704.0
12.0,6428371072.0
13.0,6418379264.0
14.0,6427261824.0
15.0,6426699008.0
16.0,6416703104.0
17.0,6411425792.0
18.0,6403785088.0
19.0,6393787136.0
20.0,6384968832.0
21.0,6374968832.0
22.0,6365024128.0
23.0,6355024128.0
24.0,6345024128.0
25.0,6335024128.0
26.0,6325024128.0
27.0,6315024128.0
28.0,6305024128.0
29.0,6295024128.0
30.0,6285024128.0
31.0,6275024128.0
32.0,6265024128.0
33.0,6255024128.0
34.0,6245024128.0
35.0,6235024128.0
36.0,6225024128.0
37.0,6215024128.0
38.0,6205024128.0
39.0,6195024128.0
40.0,6185024128.0
41.0,6175024128.0
42.0,6165024128.0
43.0,6155024128.0
44.0,6145024128.0
45.0,6135024128.0
46.0,6125024128.0
47.0,6115024128.0
48.0,6105024128.0
49.0,6095024128.0
50.0,6085024128.0
51.0,6075024128.0
52.0,6065024128.0
53.0,6055024128.0
54.0,6045024128.0
55.0,6035024128.0
56.0,6025024128.0
57.0,6015024128.0
58.0,6005024128.0
59.0,5995024128.0
60.0,5985024128.0
61.0,5975024128.0
62.0,5965024128.0
63.0,5955024128.0
64.0,5945024128.0
65.0,5935024128.0
66.0,5925024128.0
67.0,5915024128.0
68.0,5905024128.0
69.0,5895024128.0
70.0,5885024128.0
71.0,5875024128.0
72.0,5865024128.0
73.0,5855024128.0
74.0,5845024128.0
75.0,5835024128.0
76.0,5825024128.0
77.0,5815024128.0
78.0,5805024128.0
79.0,5795024128.0
80.0,5785024128.0
81.0,5775024128.0
82.0,5765024128.0
83.0,5755024128.0
84.0,5745024128.0
85.0,5735024128.0
86.0,5725024128.0
87.0,5715024128.0
88.0,5705024128.0
89.0,5695024128.0
90.0,5685024128.0
91.0,5675024128.0
92.0,5665024128.0
93.0,5655024128.0
94.0,5645024128.0
95.0,5635024128.0
96.0,5625024128.0
97.0,5615024128.0
98.0,5605024128.0
99.0,5595024128.0
100.0,5585024128.0
101.0,5575024128.0
102.0,5565024128.0
103.0,5555024128.0
