time,queue,compute
0.0,9.408153635148862e-05,
1.0,0.12945619401964834,
2.0,0.2008757484259718,
3.0,0.2071938197250761,
4.0,0.17133984235462565,
5.0,0.2468607637362718,
6.0,0.304714936619915,
7.0,0.2951920292358374,
8.0,0.29996363528116415,
9.0,0.2640743773345819,
10.0,0.24681326358559436,
11.0,0.21093282578304504,
12.0,0.17504356783646277,
13.0,0.15101740361420102,
14.0,0.11512814566761875,
15.0,0.07923888772103649,
16.0,0.04334962977445422,
17.0,0.007460371827871949,
18.0,0.0,
19.0,0.0,
20.0,0.0,
21.0,0.0067826907613401325,
22.0,2.6460432098856174e-05,
23.0,0.0,
24.0,0.0,
25.0,0.0,
26.0,0.0,
27.0,0.0,
28.0,0.0,
29.0,0.0,
30.0,0.037273928683255395,
31.0,0.0013846707366731298,
32.0,0.0,
33.0,0.023708547160575133,
34.0,1.7640288065904115e-05,
35.0,0.018636964341627697,
36.0,0.0,
37.0,0.011863093724320518,
38.0,0.0,
39.0,0.0,
40.0,0.0,
41.0,0.006773870617307181,
42.0,0.0,
43.0,0.0,
44.0,0.0,
45.0,0.0,
46.0,3.528057613180823e-05,
47.0,0.0,
48.0,0.0,
49.0,0.0,
50.0,0.0,
51.0,0.0,
52.0,0.0,
53.0,0.0,
54.0,0.0,
55.0,0.0,
56.0,0.0,
57.0,0.016652431934213487,
58.0,0.016652431934213487,
59.0,0.0,
60.0,0.0,
61.0,1.4700240054920096e-05,
62.0,0.0,
63.0,0.01646426886151051,
64.0,1.4700240054920096e-05,
65.0,0.0,
66.0,0.013884376731872032,
67.0,0.0,
68.0,0.0,
69.0,0.0,
70.0,0.008232134430755255,
71.0,7.350120027460048e-06,
72.0,0.0,
73.0,0.0,
74.0,0.0056448921810893175,
75.0,0.0,
76.0,0.0,
77.0,3.528057613180823e-05,
78.0,0.0,
79.0,0.0,
80.0,0.0,
81.0,0.0,
82.0,0.0,
83.0,0.0,
84.0,0.0,
85.0,0.0,
86.0,0.0,
87.0,0.0,
88.0,0.0,
89.0,0.03331221398845443,
90.0,7.350120027460048e-06,
91.0,0.0,
92.0,0.0,
93.0,0.0,
94.0,0.0,
95.0,0.0,
96.0,0.01646426886151051,
97.0,1.4700240054920096e-05,
98.0,0.0,
99.0,0.0,
100.0,0.0,
101.0,0.0,
102.0,0.0,
103.0,0.0,
104.0,0.0,
105.0,0.0056448921810893175,
106.0,0.008232134430755255,
107.0,7.350120027460048e-06,
108.0,0.0,
109.0,0.0,
110.0,0.0,
111.0,0.008232134430755255,
