time,queue,compute
0.0,9.408153635148862e-05,
1.0,0.12945619401964834,
2.0,0.23564346706172337,
3.0,0.27672925699657924,
4.0,0.2756429982618804,
5.0,0.3859316382792781,
6.0,0.4785535297986729,
7.0,0.5037983410503468,
8.0,0.5433376657314252,
9.0,0.5422161264205945,
10.0,0.5597227313073585,
11.0,0.5586100121405607,
12.0,0.55748847282973,
13.0,0.5682300272432199,
14.0,0.5671084879323892,
15.0,0.5659869486215585,
16.0,0.5648654093107278,
17.0,0.5637438699998971,
18.0,0.5626223306890664,
19.0,0.5615007913782357,
20.0,0.560379252067405,
21.0,0.5660404035179144,
22.0,0.5649453246391826,
23.0,0.5638237853283519,
24.0,0.5627022460175212,
25.0,0.5615807067066905,
26.0,0.5604591673958598,
27.0,0.5593376280850292,
28.0,0.5582160887741985,
29.0,0.5570945494633678,
30.0,0.5932469388357925,
31.0,0.5921253995249618,
32.0,0.5910038602141311,
33.0,0.6135908680638755,
34.0,0.6124869690411107,
35.0,0.6300023940719077,
36.0,0.628880854761077,
37.0,0.6396224091745668,
38.0,0.6385008698637361,
39.0,0.6373793305529054,
40.0,0.6362577912420747,
41.0,0.6419101225485512,
42.0,0.6407885832377205,
43.0,0.6396670439268898,
44.0,0.6385455046160591,
45.0,0.6374239653052284,
46.0,0.6363377065705296,
47.0,0.6352161672596989,
48.0,0.6340946279488682,
49.0,0.6329730886380375,
50.0,0.6318515493272068,
51.0,0.6307300100163761,
52.0,0.6296084707055454,
53.0,0.6284869313947147,
54.0,0.627365392083884,
55.0,0.6262438527730533,
56.0,0.6251223134622226,
57.0,0.6406532060856054,
58.0,0.6561840987089882,
59.0,0.6550625593981575,
60.0,0.6539410200873268,
61.0,0.652834181016551,
62.0,0.6517126417057203,
63.0,0.6670553712564001,
64.0,0.6659485321856243,
65.0,0.6648269928747936,
66.0,0.677589830295835,
67.0,0.6764682909850043,
68.0,0.6753467516741736,
69.0,0.6742252123633429,
70.0,0.6813358074832675,
71.0,0.6802216182924642,
72.0,0.6791000789816335,
73.0,0.6779785396708028,
74.0,0.6825018925410614,
75.0,0.6813803532302307,
76.0,0.6802588139194,
77.0,0.6791725551847012,
78.0,0.6780510158738705,
79.0,0.6769294765630398,
80.0,0.6758079372522091,
81.0,0.6746863979413784,
82.0,0.6735648586305477,
83.0,0.672443319319717,
84.0,0.6713217800088863,
85.0,0.6702002406980556,
86.0,0.6690787013872249,
87.0,0.6679571620763942,
88.0,0.6668356227655635,
89.0,0.6990262974431872,
90.0,0.697912108252384,
