time,queue
0.0,65536.0
1.0,90177536.0
2.0,154927488.0
3.0,174328576.0
4.0,164353152.0
5.0,231960064.0
6.0,287260544.0
7.0,295627008.0
8.0,313950848.0
9.0,303950848.0
10.0,306926976.0
11.0,296933120.0
12.0,286933120.0
13.0,285196800.0
14.0,275196800.0
15.0,265196800.0
16.0,255196800.0
17.0,245196800.0
18.0,235196800.0
19.0,225196800.0
20.0,215196800.0
21.0,209921536.0
22.0,199939968.0
23.0,189939968.0
24.0,179939968.0
25.0,169939968.0
26.0,159939968.0
27.0,149939968.0
28.0,139939968.0
29.0,129939968.0
30.0,145904512.0
31.0,135904512.0
32.0,125904512.0
33.0,132419584.0
34.0,122431872.0
35.0,125414144.0
36.0,115414144.0
37.0,113677824.0
38.0,103677824.0
39.0,93677824.0
40.0,83677824.0
41.0,78396416.0
42.0,68396416.0
43.0,58396416.0
44.0,48396416.0
45.0,38396416.0
46.0,28420992.0
47.0,18420992.0
48.0,8420992.0
49.0,0.0
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
54.0,0.0
55.0,0.0
56.0,0.0
57.0,11599872.0
58.0,13199744.0
59.0,3199744.0
60.0,0.0
61.0,10240.0
62.0,0.0
63.0,11468800.0
64.0,1479040.0
65.0,0.0
66.0,9671680.0
67.0,0.0
68.0,0.0
69.0,0.0
70.0,5734400.0
71.0,5120.0
72.0,0.0
73.0,0.0
74.0,3932160.0
75.0,0.0
76.0,0.0
77.0,24576.0
78.0,0.0
79.0,0.0
80.0,0.0
81.0,0.0
82.0,0.0
83.0,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
89.0,23204864.0
90.0,13209984.0
91.0,3209984.0
92.0,0.0
93.0,0.0
94.0,0.0
95.0,0.0
96.0,11468800.0
97.0,1479040.0
98.0,0.0
99.0,0.0
100.0,0.0
101.0,0.0
102.0,0.0
103.0,0.0
104.0,0.0
105.0,3932160.0
106.0,5734400.0
107.0,5120.0
108.0,0.0
109.0,0.0
110.0,0.0
111.0,5734400.0
112.0,0.0
113.0,0.0
114.0,5120.0
115.0,0.0
116.0,0.0
117.0,3932160.0
118.0,24576.0
119.0,0.0
120.0,0.0
121.0,0.0
122.0,0.0
123.0,0.0
124.0,0.0
125.0,0.0
126.0,0.0
127.0,0.0
128.0,0.0
129.0,0.0
130.0,0.0
131.0,0.0
132.0,0.0
133.0,0.0
134.0,0.0
135.0,0.0
136.0,0.0
137.0,20447232.0
138.0,10451328.0
139.0,455424.0
140.0,0.0
141.0,0.0
142.0,0.0
143.0,0.0
144.0,0.0
145.0,0.0
146.0,0.0
147.0,0.0
148.0,7340032.0
149.0,4096.0
150.0,4096.0
151.0,0.0
152.0,0.0
153.0,0.0
154.0,0.0
155.0,0.0
156.0,0.0
157.0,6815744.0
158.0,0.0
159.0,4096.0
160.0,0.0
161.0,0.0
162.0,0.0
163.0,3670016.0
164.0,0.0
165.0,0.0
166.0,0.0
167.0,4096.0
168.0,0.0
169.0,3145728.0
170.0,15360.0
171.0,0.0
172.0,0.0
173.0,0.0
174.0,0.0
175.0,0.0
176.0,31850496.0
177.0,24504704.0
178.0,14507776.0
179.0,4507776.0
180.0,0.0
181.0,0.0
182.0,0.0
183.0,0.0
184.0,0.0
185.0,0.0
186.0,0.0
187.0,0.0
188.0,1771520.0
189.0,589824.0
190.0,0.0
191.0,0.0
192.0,0.0
193.0,0.0
194.0,2048.0
195.0,5120.0
196.0,2048.0
197.0,0.0
198.0,0.0
199.0,0.0
200.0,0.0
201.0,0.0
202.0,0.0
203.0,0.0
204.0,0.0
205.0,0.0
206.0,6291456.0
207.0,0.0
208.0,0.0
209.0,4608.0
210.0,0.0
211.0,0.0
212.0,0.0
213.0,0.0
214.0,0.0
215.0,442368.0
216.0,1771520.0
217.0,589824.0
218.0,0.0
219.0,0.0
220.0,9216.0
221.0,0.0
222.0,0.0
223.0,0.0
224.0,0.0
225.0,0.0
226.0,0.0
227.0,0.0
228.0,0.0
229.0,0.0
230.0,0.0
231.0,0.0
232.0,0.0
233.0,0.0
234.0,0.0
235.0,0.0
236.0,0.0
237.0,6160384.0
238.0,0.0
239.0,0.0
240.0,4608.0
241.0,0.0
242.0,0.0
243.0,0.0
244.0,0.0
245.0,2162688.0
246.0,2048.0
247.0,0.0
248.0,0.0
249.0,0.0
250.0,0.0
251.0,524288.0
252.0,0.0
253.0,2048.0
254.0,5120.0
255.0,1024.0
256.0,0.0
257.0,0.0
258.0,0.0
259.0,0.0
260.0,0.0
261.0,0.0
262.0,0.0
263.0,0.0
264.0,5701632.0
265.0,0.0
266.0,4608.0
267.0,0.0
268.0,0.0
269.0,0.0
270.0,0.0
271.0,0.0
272.0,0.0
273.0,0.0
274.0,2064384.0
275.0,0.0
276.0,0.0
277.0,2048.0
278.0,0.0
279.0,0.0
280.0,393216.0
281.0,6144.0
282.0,0.0
283.0,0.0
284.0,4423680.0
285.0,2560.0
286.0,163840.0
287.0,2048.0
288.0,0.0
289.0,0.0
290.0,590848.0
291.0,0.0
292.0,0.0
293.0,295936.0
294.0,0.0
