"order, bits_sent, raw_edgename"
0,65601536.0,logits/logits/weights/read
1,32.0,logits/logits/weights/Regularizer/L2Regularizer/value
2,32.0,logits/logits/weights/Regularizer/L2Regularizer/L2Loss
3,32.0,mixed_8x8x2048b/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
4,32.0,mixed_8x8x2048b/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
5,20971520.0,mixed_8x8x2048b/branch1x1/Conv/weights/read
6,32.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/value
7,32.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
8,14155776.0,mixed_8x8x2048b/branch3x3/Conv_1/weights/read
9,32.0,mixed_8x8x2048b/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
10,32.0,mixed_8x8x2048b/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
11,25165824.0,mixed_8x8x2048b/branch3x3/Conv/weights/read
12,14155776.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/read
13,32.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/value
14,32.0,mixed_8x8x2048b/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
15,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/value
16,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
17,14155776.0,mixed_8x8x2048b/branch3x3dbl/Conv_2/weights/read
18,32.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/value
19,32.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
20,29360128.0,mixed_8x8x2048b/branch3x3dbl/Conv/weights/read
21,49545216.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/read
22,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
23,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
24,14155776.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/read
25,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/value
26,32.0,mixed_8x8x2048b/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/L2Loss
27,32.0,mixed_8x8x2048a/branch1x1/Conv/weights/Regularizer/L2Regularizer/value
28,32.0,mixed_8x8x2048a/branch1x1/Conv/weights/Regularizer/L2Regularizer/L2Loss
29,13107200.0,mixed_8x8x2048a/branch1x1/Conv/weights/read
30,32.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/value
31,32.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
32,14155776.0,mixed_8x8x2048a/branch3x3/Conv_1/weights/read
33,32.0,mixed_8x8x2048a/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
34,32.0,mixed_8x8x2048a/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
35,15728640.0,mixed_8x8x2048a/branch3x3/Conv/weights/read
36,14155776.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/read
37,32.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/value
38,32.0,mixed_8x8x2048a/branch3x3/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
39,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/value
40,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/Regularizer/L2Regularizer/L2Loss
41,14155776.0,mixed_8x8x2048a/branch3x3dbl/Conv_2/weights/read
42,32.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/value
43,32.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/Regularizer/L2Regularizer/L2Loss
44,18350080.0,mixed_8x8x2048a/branch3x3dbl/Conv/weights/read
45,49545216.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/read
46,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/value
47,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_1/weights/Regularizer/L2Regularizer/L2Loss
48,14155776.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/read
49,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/value
50,32.0,mixed_8x8x2048a/branch3x3dbl/Conv_3/weights/Regularizer/L2Regularizer/L2Loss
51,32.0,mixed_17x17x1280a/branch3x3/Conv/weights/Regularizer/L2Regularizer/value
52,32.0,mixed_17x17x1280a/branch3x3/Conv/weights/Regularizer/L2Regularizer/L2Loss
